ID,Category,Offer,Highlight,Product.terms_and_conditions,Supplier,AccessPercent
1068370,In-Store Offer,Mekko,7% Cashback on All Purchases,,Pokitpal,5
1068465,In-Store Offer,Celebration Box New Zealand,5% Cashback on All Purchases,,Pokitpal,5
1068400,In-Store Offer,Pure Milford,5% Cashback on All Purchases,,Pokitpal,5
1068252,In-Store Offer,1.5 Hour East Perth Segway Tour,Explore New Adventures and get 7% Cashback,,Pokitpal,5
1068254,In-Store Offer,1.5 Hour Fortress Segway Adventure,Explore New Adventures and get 7% Cashback,,Pokitpal,5
1068258,In-Store Offer,1.5 Hour Jet Ski Safari,Explore New Adventures and get 7% Cashback,,Pokitpal,5
1067619,In-Store Offer,1.5 Hour Jet Ski Tour of Airlie Beach & Pioneer Bay,Explore New Adventures and get 7% Cashback,,Pokitpal,5
1068253,In-Store Offer,1.5 Hour West Perth Segway Tour,Explore New Adventures and get 7% Cashback,,Pokitpal,5
1068255,In-Store Offer,1 Day Blue Mountains & 3 Sisters Sunset Tour,Explore New Adventures and get 7% Cashback,,Pokitpal,5
1068270,In-Store Offer,1-Day Coffin Bay Tour,Explore New Adventures and get 7% Cashback,,Pokitpal,5
1068256,In-Store Offer,1 Day Freedon Kayak Hire,Explore New Adventures and get 7% Cashback,,Pokitpal,5
1067618,In-Store Offer,1 Day Great Ocean Road Tour,Explore New Adventures and get 7% Cashback,,Pokitpal,5
1067617,In-Store Offer,1 Day Noosa Everglades Guided Kayak Tour,Explore New Adventures and get 7% Cashback,,Pokitpal,5
1067620,In-Store Offer,1 Day Phillip Island Penguin Parade Tour,Explore New Adventures and get 7% Cashback,,Pokitpal,5
1068271,In-Store Offer,1-Day Port Lincoln Tour,Explore New Adventures and get 7% Cashback,,Pokitpal,5
1068262,In-Store Offer,1 Day Reverse Great Ocean Road Tour,Explore New Adventures and get 7% Cashback,,Pokitpal,5
1068260,In-Store Offer,1 Day Self Guided Noosa Everglades Kayak Tour,Explore New Adventures and get 7% Cashback,,Pokitpal,5
1068261,In-Store Offer,1 Day Yarra Valley Winery Tour,Explore New Adventures and get 7% Cashback,,Pokitpal,5
1068265,In-Store Offer,1 hour Balloon Flight in Mansfield,Explore New Adventures and get 7% Cashback,,Pokitpal,5
1068259,In-Store Offer,1 hour Guided Jet Ski Tour,Explore New Adventures and get 7% Cashback,,Pokitpal,5
1068266,In-Store Offer,1 Hour Jet Ski Safari,Explore New Adventures and get 7% Cashback,,Pokitpal,5
1068263,In-Store Offer,1 Hour Riverside Segway Tour,Explore New Adventures and get 7% Cashback,,Pokitpal,5
1068264,In-Store Offer,1 Hour Settlement Explorer Segway Tour,Explore New Adventures and get 7% Cashback,,Pokitpal,5
1068267,In-Store Offer,"15,000ft Tandem Skydive over Rottnest Island",Explore New Adventures and get 7% Cashback,,Pokitpal,5
1067621,In-Store Offer,15 Minute Volcanoes and Beaches Helicopter Flight,Explore New Adventures and get 7% Cashback,,Pokitpal,5
1068257,In-Store Offer,15 Minute Warbird Aerobatic Flight,Explore New Adventures and get 7% Cashback,,Pokitpal,5
1068268,In-Store Offer,1770 Larc Afternoon Cruise,Explore New Adventures and get 7% Cashback,,Pokitpal,5
1068269,In-Store Offer,1770 Larc Paradise Full Day Tour,Explore New Adventures and get 7% Cashback,,Pokitpal,5
1068272,In-Store Offer,"1837 BAROSSA - 1 hour Wine Tour, 4 Wine Tastings and Cheese Platter Experience",Explore New Adventures and get 7% Cashback,,Pokitpal,5
1068273,In-Store Offer,"1837 BAROSSA - 2 hour Wine Tour, Vineyard Walk, 6 Wine Tasting & Cheese Platter Experience",Explore New Adventures and get 7% Cashback,,Pokitpal,5
1068274,In-Store Offer,"1837 BAROSSA -  4 hour Wine Tour, Vineyard Walk, 8 Wine Tastings & 3 Course Lunch Experience",Explore New Adventures and get 7% Cashback,,Pokitpal,5
1068275,In-Store Offer,"1837 BAROSSA -  5 hour Wine Tour, Vineyard Walk, 8 Wine Tastings, 3 Course Lunch & Helicopter Experience",Explore New Adventures and get 7% Cashback,,Pokitpal,5
1068280,In-Store Offer,2.5 hour Guided Jet Ski Tour,Explore New Adventures and get 7% Cashback,,Pokitpal,5
1068279,In-Store Offer,2 Flight Kickstart Indoor Skydiving Package,Explore New Adventures and get 7% Cashback,,Pokitpal,5
1068278,In-Store Offer,2 Hour South Molle and Whitsunday Island Jet Ski Safari,Explore New Adventures and get 7% Cashback,,Pokitpal,5
1068283,In-Store Offer,25 Minute Warbird Aerobatic Flight,Explore New Adventures and get 7% Cashback,,Pokitpal,5
